,rank,songid,title,artist,like,release_date,genre,lyric
1679,1680,37854684,넌 나의 바다가 되어줄래,IOHBOY (아이오보이),1106,2024.08.06,"랩/힙합, 인디음악","잊었던 추억에 대해서 들어본 적 있나요?
아팠던 기억도 다시 보면 별거 아닐 테죠
어려웠던 기억 속에 언젠가
우리 사랑했던 추억으로 남겨질 테니
별로 남지 않은 시간 동안 서롤 미워하며
계속 멀어져만 가는 시간 낭비하지 말자

oh 넌 나의 밤 또 언젠가
넌 나의 바다가 되어줄래?
oh 넌 나의 사랑 언젠가
저 밤하늘에 별이 되어 비춰주겠니?

숨이 막혀 나를 떠나더라도
터져가는 가슴 부여잡고 울지 말아줘
별 의미 없는 말로 널 더 헷갈리게 하며
다시 사랑한단 대답을 기다릴지도 몰라

oh 내 사랑은 왜 항상 이리 고된 건가요
oh 내 사랑은 왜 항상 이렇게 끝이 나죠?
의미도 없는 검은 방안 속에서
널 더 그리워만 하며 붙잡을지도 몰라
시답지 않은 말로 네게 사랑을 바라며
다시 돌아온단 대답을 기다릴지도 몰라

oh 넌 나의 밤 또 언젠가
넌 나의 바다가 되어줄래?
oh 넌 나의 사랑 언젠가
저 밤하늘에 별이 되어 비춰주겠니?

숨이 막혀 나를 떠나더라도
터져가는 가슴 부여잡고 울지 말아줘
별 의미 없는 말로 널 더 헷갈리게 하며
다시 사랑한단 대답을 기다릴지도 몰라

oh 넌 나의 밤 또 언젠가
넌 나의 바다가 되어줄래?
oh 넌 나의 사랑 언젠가
저 밤하늘에 별이 되어 비춰주겠니?

숨이 막혀 나를 떠나더라도
터져가는 가슴 부여잡고 울지 말아줘
별 의미 없는 말로 널 더 헷갈리게 하며
다시 사랑한단 대답을 기다릴지도 몰라"
1680,1681,31321349,Stood,다린,14728,2018.09.26,"인디음악, 포크/블루스","하얀 손목에 핀 라일락은
밤새 두근거리고
손톱 끝이 둥그런 게
넌 예쁜 달을 열 개나 가졌네
껴안고 자자
아무 말 없어도 좋으니
우리 껴안고 자자
네 목덜미에 얼굴을 묻을래
하얀 손목에 핀 라일락은
밤새 두근거리고
손톱 끝이 둥그런 게
넌 예쁜 달을 열 개나 가졌네
껴안고 자자
아무 말 없어도 좋으니
우리 껴안고 자자
네 목덜미에 얼굴을 묻을래
Everynight we stood on the universe
and stay with among the stars
물들어가는 곳
손에 닿을 듯
눈동자는 꿈처럼
Everynight we stood on the universe
and stay with among the stars
물들어가는 곳
손에 닿을 듯
눈동자는 꿈처럼
언젠가는
지금을 그리워하겠지
그때 서롤 다시 찾을 수 있게
지금의 나를 잊지 마
Everynight we stood on the universe
and stay with among the stars 
물들어가는 곳
손에 닿을 듯
눈동자는 꿈처럼
Everynight we stood on the universe
and stay with among the stars
물들어가는 곳
손에 닿을 듯
눈동자는 꿈처럼"
1681,1682,35749853,If You Say So,jisokuryClub,1410,2022.10.23,"인디음악, 록/메탈","You know we knew we've been swimming
(너도 알잖아우리는 내내)
against the tide
(저 물살을 거슬러 수영하고 있었다는 걸)
Pretending you never know we were floating backward.
(그저 떠다니는 우리를 모른 체 하며)

From a sinking boat I'm yelling
(가라앉는 배에서 뛰어내리라고)
to jump out
(내가 소리쳤다고 해서)
but it doesn't mean that I, I did drill a hole through
(내가 배에 구멍을 냈다는 소리는 아니야)

I know what I’m doing all time
(나도 내가 무얼 하는지 알고 있어)
Digging a pit deep for my own
(나를 위한 구덩이를 파고 있어)
I know what I’m doing digging digging
(나도 내가 무얼 하는지 알고 있어)
but it doesn't matter anymore
(하지만 이제 그건 아무래도 상관없어)

if there is something I am to blame for
(네가 만일 내 책임을 묻는다면)
if there is
(만일 내 잘못이 있다면)
if you push so
(네가 나를 그렇게 몰아세운다면)
if you say so
(네가 그렇다고 한다면)

what all I've done is taking the choice for us
(나는 우리를 대신해서 결정을 내렸을 뿐이야)
cutting the rotten part
(난 썩은 부분을 도려낸 것뿐이야)
if you say so
(네가 그렇게 말을 한다면)


I know what I’m doing all time
(나도 내가 무얼 하는지 알고 있어)
Digging a pit deep for my own
(나를 위한 구덩이를 파고 있어)
I know what I’m doing digging digging
(나도 내가 무얼 하는지 알고 있어)
but it doesn't matter anymore
(하지만 이제 그건 아무래도 상관없어)

if there is something I am to blame for
(네가 만일 내 책임을 묻는다면)
if there is
(만일 내 잘못이 있다면)
if you push so
(네가 나를 그렇게 몰아세운다면)
if you say so
(네가 그렇다고 한다면)

what all I've done is taking the choice for us
(나는 우리를 대신해서 결정을 내렸을 뿐이야)
the only choice we've left
(그게 우리가 남겨둔 유일한 선택권이잖아)
if you say so
(네가 그렇게 말한다면)

if there is something I am to blame for
(네가 만일 내 책임을 묻는다면)
if there is
(만일 내 잘못이 있다면)
if you push so
(네가 나를 그렇게 밀어붙인다면)
if you say so
(네가 그렇다고 한다면)"
1682,1683,31086294,멀어지지 않게,OuiOui (위위),24015,2018.05.23,"R&B/Soul, 인디음악","바라는 게 많아져서
욕심이란 게 커져서 
너에게 이런 맘이 드는지
서툰 너를 다 알면서
나와 다른 널 알면서
너를 내게 맞추려 하는지
차가워진 밤공기에 
식어버린 듯한 맘에
모진 말을 뱉어 
널 외롭게 하고 
니 진심을 알면서 
따듯한 널 알면서
보내야 했을까 
너의 뒷모습이 두 눈에 밟혀 
너에게로 발걸음을 돌려 
다시 그때로 내 마음을 돌려 
I’ll never let you go 
I will never let you go go go
걸음을 멈춰 나를 안아줘 
너에게서 멀어지지 않게
너에게서 멀어지지 않게
차가워진 밤공기에 
식어버린 듯한 맘에
이기적인 말로 널 밀어내봐도
붙잡는 널 알면서 
아파할 널 알면서
보내야 했을까 
너의 뒷모습이 두 눈에 밟혀
너에게로 발걸음을 돌려 
다시 그때로 내 마음을 돌려 
I’ll never let you go 
I will never let you go go go 
걸음을 멈춰 나를 안아줘 
너에게서 멀어지지 않게
너를 담은 내 맘이 
내 맘이 아닌 것 같아
현실이란 벽에 무뎌진 채로 난
니 손을 놓는다면
니가 내 손을 놓아준다면 
나 그때 널
떠나갈 수 있을까
너에게로 발걸음을 돌려 
다시 그때로 내 마음을 돌려 
I’ll never let you go 
I will never let you go go go 
걸음을 멈춰 나를 안아줘 
너에게서 멀어지지 않게
너에게서 멀어지지 않게"
1683,1684,33153602,하양 (Feat. 헤이즈),유라 (youra),10609,2020.12.23,"R&B/Soul, 인디음악","첫눈이 오면 그대가 웃는다
작은 소원들이 모여
현관문 앞에 서성 반짝
그래 긴 안녕을 한다
간단히 나를 무너뜨리고
소리 없이 녹아 버렸다
아름답게 아름답게 눈이 온다
아름답게 아름답게 잠이 든다
휘하고 멋지게 솟구치는 눈은
이별에 손짓인 듯 부서지는
밤으로 가득한 고요를 본다
돌아보는 여운이 안타깝다
숨을 쉰다 눈이 온다
인사한다 잠이 든다
떠나간다
떠나간다
남은 것은 이제 없다
그대가 웃는 걸 보면서 나도 웃는다
발자국에 아쉬움 꾹 묻어둔 채로
그마저도 아침이 오면 사라지겠지
이대로 끝인 건가요
5월이 와도 난 이곳에
깊숙이 묻어둔 편지처럼
다시 와서 꺼내주길 기다리지
부디 안아주지는 마세요
꿈처럼 하얗게 새하얗게
사라질 기억이고 싶지는 않아
휘하고 멋지게 솟구치는 눈은
이별에 손짓인 듯 부서지는
밤으로 가득한 고요를 본다
돌아보는 여운이 안타깝다
숨을 쉰다 눈이 온다
인사한다 잠이 든다
떠나간다
떠나간다
남은 것은 이제 없다
휘하고 멋지게 솟구치는 눈은
이별에 손짓인 듯 부서지는
밤으로 가득한 고요를 본다
돌아보는 여운이 안타깝다
숨을 쉰다 눈이 온다
인사한다 잠이 든다
떠나간다
떠나간다
남은 것은 이제 없다"
1684,1685,32260994,이건 사랑이야 (Feat. Jayci yucca),숨셔,2947,2019.12.18,"R&B/Soul, 인디음악","난 애가 타
평생 나만 바라보겠다는 말은
가짜 같아 Yeah
나 불안해 다른 남자들에게
그런 웃음 짓지 마 불안하니까
Baby 어딜 가나 Look look look
내 시선은 너만 Loop loop loop
온 매력들을 내뿜어
넌 하지 말라고 숨어
난 지금 너를 찾는 중 음음
전화 연결음 뚜뚜뚜 Yeah
이건 사랑이야
정말 어떻게 해야 하니 널
자꾸 나를 미치게 만드는 걸
이유는 내가 다 설명할게
Baby yeah 오늘은 내 곁에 있어줘
Baby come on what you want yeah
너만 원함 모든 해 Yeah
옷을 말끔하게 갈아입고
거울을 보며 손짓해
술을 따라 마셔보고
나도 모를 눈빛을 하고
Oh 나의 침대맡엔 베개 두 개
하루 종일 연습을 해 Yeah
거울을 보며 용기를 내
Oh 네잎클로버 같은 널
가만둘 순 없어 Girl
이건 사랑이야
정말 어떻게 해야 하니 널
자꾸 나를 미치게 만드는 걸
이유는 내가 다 설명할게
Baby yeah 오늘은 내 곁에 있어줘
때론 네게 화를 내며
다신 안 볼듯해도
진심이 아니란 걸
너가 제일 잘 알면서
너와 멀어지는 건
내겐 악몽이야 Girl
헤어지기 싫다고 이건 사랑이야 Girl
자꾸 나를 미치게 만드는 걸
이유는 내가 다 설명할게
Baby yeah 오늘은 내 곁에 있어줘"
1685,1686,34057389,테두리,이고도,2978,2021.10.10,"인디음악, 록/메탈","새 어두운 밤이 찾아와
정답게 웃음을 나누어 마시자
오 우린 충분히
뜨거워질 일이 많잖아
바람이 불어올 때
우리가 얼마나 푸를 수 있는지
마음이 물어올 때
진심을 다할 수 있는지
두 눈을 맞대보는 거야
모든 게 그대론데
우리만 구름처럼 흐를 뿐예요
모든 게 그대론데
우리만 구름처럼 흐를 뿐예요
저 담장을 넘어갈 때
한 줌의 불씨로 내릴 수 있는지
젊은 미소를 띠고
서둘러 검어진 언덕에
긴 맘을 새겨 보는 거야
감당할 수 있겠니
실낱같은 마음들 떠나가고
녹아버린 진심만
그 자리에 남았네
남았네
모든 게 그대론데
우리만 구름처럼 흐를 뿐예요
모든 게 그대론데
우리만 구름처럼 흐를 뿐예요"
1686,1687,33049850,Clouds,오존 (O3ohn),7697,2020.11.10,"인디음악, 포크/블루스","오늘에 갇힌 우리를 봐
잠시 머무른 후 사라질 것들
구름에 덮인 오해였나
아직 멀어짐이 아쉬운 마음도
오 오늘에 갇힌 우리를 봐
잠시 머무른 후 사라질 것들
구름에 덮인 오해였나
아직 멀어짐이 아쉬운 마음도
함께 Love 함께 Love
함께 Love 함께 Love
Maybe I’ll make you feel good
Maybe I’ll make you feel good"
1687,1688,34009729,Tree,오월오일 ( 五月五日 ),4589,2021.09.28,"R&B/Soul, 인디음악","먹구름 이맘때
쯤에 사라진다면
내가 바라봤던
작은 꿈이 보일 거야
하나둘씩
뭔가를 바랬었다면
우리 바라봤던
그 길이 보일 거야
아무 말도 하지 않은 오늘
울음으로 마쳤어
아직 사라지지 않은 마음속을
침묵으로 채웠고
마음에도 없는 말은 잠시
묻어두기로 했지
It’s not to mind alright
Say
Tonight
아름다운 이 마음이
다 우리잖아
Say
아 아아아아
같은 마음에 우리는
춤추잖아
It’s everything alright
하루 반나절을
나무 위에서 춤추니
우린 볼 수가 있었어
예쁜 노을이 있었지
바다 같은
나뭇잎은
춤추고
우린 그걸 따라 했어
그게 초록 마음이었지
아무 말도 하지 않은 오늘
울음으로 마쳤어
아직 사라지지 않은 마음속을
침묵으로 채웠고
마음에도 없는 말은 잠시
묻어두기로 했지
It’s not to mind alright
Say
Tonight
아름다운 이 마음이
다 우리잖아
Say
아 아아아아
같은 마음에 우리는
춤추잖아
It’s everything alright
있었대 우리가
아름다운
산을 오를 때에
떨어진 추억을
우리가 밟고
있었나 봐
지나온 그 길을
돌아봤어야만 했는데
우리는 이렇게
먼 곳을 봤나 봐
Tonight
아름다운 이 마음이
다 우리잖아
Say
아 아아아아
같은 마음에 우리는
춤추잖아
It’s everything alright
All day
All night
Always
We have to go
All day
All night
Always
We have to go
All day
All night
Always
We have to go
All day
All night
Always
We have to go"
1688,1689,34803365,멀어진 만큼 (Distance),스탠딩 에그,7204,2022.03.27,"발라드, 인디음악","매번 다른 이유로 떠오르면
내가 어떻게 잊어 너를
떠올리지 않으려 애써봐도
너는 내 안에 있어
달이 지나가면 그대가 보여
오늘도 조금씩 흐려져
언젠가는 널 다시 만나겠어
나는 여기 있어
너는 하늘에 걸린 빛난 별보다
눈부시게 나를 비춰주고 있어
네가 멀어진 만큼 잊혀지기를
바보처럼 멍하니 바라고 있어
이만큼 멀어져도 떠오르면
내가 어떻게 잊어 너를
떠올리지 않으려 애써봐도
너는 내 안에 있어
별이 지나가면 그때가 보여
오늘도 조금씩 흩어져
언젠가는 널 다시 꼭 안겠어
나는 여기 있어
너는 하늘에 걸린 빛난 별보다
눈부시게 나를 비춰주고 있어
네가 멀어진 만큼 잊혀지기를
바보처럼 멍하니 바라고 있어
밤하늘 가득 안고서
그때의 우릴 떠올려봐
지금의 내가 네 앞에 서면
그때의 네가 안아줄까
너는 하늘에 걸린 빛난 별보다
눈부시게 나를 비춰주고 있어
네가 멀어진 만큼 잊혀지기를
바보처럼 멍하니 바라고 있어
너는 하늘에 걸린 빛난 별보다
눈부시게 나를 비춰주고 있어
네가 멀어진 만큼 잊혀지기를
바보처럼 멍하니 바라고 있어
이만큼 멀어져도 떠오르면
내가 어떻게 잊어"
1689,1690,35003353,남은 이에게,신지훈,3106,2022.05.01,"발라드, 인디음악","보고싶다 슬퍼 말아요
날 위해 울지 말아요
난 때론 스쳐가는 향기 되어
그대 어깨 위를 토닥일 테니
그때만 날 돌아봐 주오
아픈 밤들은 잠시면 됐으니
찬란했던 우리 추억을 두고
이제는 살아가세요
저 은하수 너머에서
우리 다시 만나게 되는 날
몹쓸 기다림이 참 슬펐다고
손 놓지 말자 약속해요
저 은하수 너머에서
우리 다시 만나게 되는 날
몹쓸 기다림이 참 슬펐다고
손 놓지 말자 약속해요 우리
보고싶다 슬퍼 말아요
날 위해 울지 말아요
찬란했던 우리 추억을 두고
이제는 살아가세요"
1690,1691,2093044,"달이 차오른다, 가자",장기하와 얼굴들,10080,2009.02.27,"인디음악, 록/메탈","달이 차오른다 가자
달이 차오른다 가자
달이 차오른다 가자
달이 차오른다 가자
달이 맨 처음 뜨기 시작할 때부터
준비했던 여행길을
매번 달이 차오를때마다
포기했던 그 다짐을
달이 차오른다 가자
달이 차오른다 가자

말을 하면 아무도
못 알아들을지 몰라
지레 겁먹고 벙어리가 된 소년은
모두 잠든 새벽
네 시 반쯤 홀로 일어나
창밖에 떠 있는 달을 보았네
하루밖에 남질 않았어
달은 내일이면 다 차올라
이번이 마지막 기회야
그걸 놓치면 영영 못 가
달이 차오른다 가자
달이 차오른다 가자
달이 차오른다 가자
달이 차오른다 가자

오늘도 여태껏처럼
그냥 잠들어버려서
못 갈지도 몰라
하지만 그러기엔 소년의 눈에는
저기 뜬 저 달이 너무나 떨리더라

달은 내일이면 다 차올라

그걸 놓치면은 절대로 못 가
달이 차오른다 가자
달이 차오른다 가자
달이 차오른다 가자
달이 차오른다 가자"
1691,1692,31087528,SUPER STARLIGHT,디핵 (D-Hack),19661,2018.05.23,"랩/힙합, 인디음악","조금 있으면 삼각 별의
빨간 차를 몰듯 해
우리 결혼하면 신혼집은
도쿄타워쯤에 얻고 살 것 같아
진짜 별을 따줄 순 없기에
내가 별이 돼서
네 세상을 다 비춰줄게
조금 이따 나는 진짜
SUPERSTAR가 될 듯 해
우린 비행기를 대중교통처럼
이용할 듯 해
무명 RAPPER 정적에서
수영하던 요즘에
소년 소녀들이
내 노래를 따라 부르기에
나 진짜 얼마 뒤면 될 것 같아
FUCKIN ARTIST
말이 씨가 된다면
이제 내 삶은 풍작이지
뱉어놓은 만큼 만들었잖아 좋은 곡
이제 BURBERRY를 입고 시부야로 날아
입에 하이볼을 머금어야겠어
조금 있으면 삼각 별의
빨간 차를 몰듯 해
우리 결혼하면 신혼집은
도쿄타워쯤에 얻고 살 것 같아
진짜 별을 따줄 순 없기에
내가 별이 돼서
네 세상을 다 비춰줄게
조만간 STAR
CAUSE IM A STAR 저 하늘 멀리
날아가 날 기다린 너에게 말해야지
나는 너를 보고
너는 나를 보는 게 아니야
나는 너를 보고
너는 별을 보는 게 맞아
커다란 거품이 걷히고 나면
내가 드러나겠지
더 큰 빛을 위해 숨어있던 거야
세상을 먹어 치워 버릴
내 오타쿠 SHIT을
좋아해주는 내 FAN들에게는
언제나 아리가또
너네 때문에 내가 음악을 하고
있는 거라고
우리 BURBERRY를 입자
우리 TEAM복으로 말이야
또 FAN복으로 말이야
넌 안될 거라 말하진 않았지만
날 바라보는 눈으로 말한 사람이
날 향해
영원히 눈으로만
말할 수 있게 선물할게
잠실체육관의 TICKET
중 고딩 때 못했던 그 비행
20대의 뒤에서 이륙준비 해
조금 있으면 삼각 별의
빨간 차를 몰듯 해
우리 결혼하면 신혼집은
도쿄타워쯤에 얻고 살 것 같아
진짜 별을 따줄 순 없기에
내가 별이 돼서
네 세상을 다 비춰줄게
조금 있으면 삼각 별의
빨간 차를 몰듯 해
우리 결혼하면 신혼집은
도쿄타워쯤에 얻고 살 것 같아
진짜 별을 따줄 순 없기에
내가 별이 돼서
네 세상을 다 비춰줄게
조만간 STAR
CAUSE IM A STAR 저 하늘 멀리
날아가 날 기다린 너에게 말해야지
나는 너를 보고
너는 나를 보는 게 아니야
나는 너를 보고
너는 별을 보는 게 맞아"
1692,1693,31469426,The Lights Behind You,SURL (설),11756,2018.12.06,"인디음악, 록/메탈","아무것도 없는 듯
이 작은방 안에서
난 눈만 뜨고 있어
눈을 떠도 감은 듯해
공허함만 있는 난
벽만 보고 있어
Where did that wall come from
Could I break that wall or
Make holes on the wall
And someone is knocking on
The other side of the wall
And make holes in my wall
Bright Light comes
through the holes
And I found you through
one of the holes
You are standing
in front of me with that smile
And there are shining lights
behind you
Yeah there are lights behind you
아무것도 없는 듯
이 작은방 안에서
난 눈만 뜨고 있어
눈을 떠도 감은 듯해
공허함만 있는 난
벽만 보고 있어
Where did that wall come from
Could I break that wall or
Make holes on the wall
And someone is knocking on
The other side of the wall
And make holes in my wall
Bright Light comes
through the holes
And I found you through
one of the holes
You are standing
in front of me with that smile
And there are shining lights
behind you
Yeah there are lights behind you"
1693,1694,37181276,숨결,주시크 (Joosiq),1614,2024.02.06,"R&B/Soul, 인디음악","계절에 주는 네 신호가
얼었던 내 손끝에,

살포시 쌓였던 겨울 속
그동안 닫혔던 내 맘도,

Everytime  
이런 꿈 같은 널 만난건 기적같아 
babe 
그대로 봄처럼 스며들어

내게 속삭이는 숨결에 
하나가 되는 우릴 봐

노을처럼 입 맞춘 뒤
말할게 사랑해 
날 기다린 널 

베였던 상처도 안아준 널 보면 난 눈물나

우리는 이렇게 같은 숨 쉬면서 서로를 안았어

Everytime  
이런 꿈 같은 널 만난건 기적같아 
babe 
그대로 내게 더 스며들어

내게 속삭이는 숨결에 
하나가 되는 우릴 봐

노을처럼 입 맞춘 뒤
말할게 사랑해 
날 기다린 널 

눈을 감아 널 불러 
네 숨결에 닿을땐 나는 알아 
넌 분명 나였다고 

네게 속삭이는 숨결에 마주 보게 된 우릴 봐
노을처럼 입 맞춘 뒤 말해줘 사랑해 
널 기다린 날"
1694,1695,36981371,꽃잎,g0nny (거니),2041,2023.11.20,"R&B/Soul, 인디음악","여름 지나 느지막이 고갤 든
피어버린 꽃 하나에
느리지만 깊어질 내 맘 같아
널 알아온 시간 속에도
벌써 자라는 나인데
그게 시작만 같아 난 참 좋았어
시들지도 않고
영원히 간직될 거라
그렇게 너와 나 읽던
종이 그 사이에 말려두었지 
영원할 것 처럼
But it comes and goes
Everything comes and goes
바래져가는데
나만 그 자리에
Everything comes and goes
Everything comes and goes
바래져가는데
나만 그 자리
그게 우리만 같아 난 참 좋았어
시들지도 않고
영원히 간직될 거라
그렇게 너와 나 읽던
종이 그 사이에 말려 두었지
영원할 것 처럼
Everything comes and goes
다 comes and goes
오고 가는 계절에도
It comes and goes
다 comes and goes
난 몰랐었어
이별이 오는 줄
Comes and goes
다 comes and goes
오고 가는 계절에도
난 몰랐었어
다 믿었었어"
1695,1696,37117936,Alone Again,KIXO (키조),2015,2024.01.13,"R&B/Soul, 인디음악","불이 꺼진 밤이 긴 탓에 
한두 번 거리를 혼자 나선다 
하루살이의 겨울이 올까 
난 밤의 도둑이야 
달의 반을 훔쳐달아나서 
새벽에 숨어 살 거야 

내 맘이 맘처럼 되지 않아 
물 밖은 위험한 것도 알아도 
이런 맘이 앞서는 걸 어떡해 

나 정말 오늘 죽어버릴까 봐 
난 그냥 아픈 거였나 봐 
반복되는 일상 속에 지친 채 

불이 꺼진 밤이 긴 탓에 
한두 번 거리를 혼자 나선다 
하루살이의 겨울이 올까 

난 밤의 도둑이야 
별의 반을 훔쳐달아나서
새벽에 숨어 살 거야 

이게 다 우연이래도 달라질 건 하나 없잖아
어떤 마음인지도 모른 채 우릴 나눴잖아 

하루 만에 이별하는 우린 결국 
새빨간 거짓들을 반복하다가 
외면했던 현실을 마주해

이젠 사랑 같은 건 의미 없는데 
사랑이 뭔지도 다 까먹었는데 
어쩜 넌 우리의 밤이 다 지나가기 전에
달콤한 거짓만을 남기는 건지 

불이 꺼진 밤이 오고
혼자 또 밤거릴 배회하다 
내 맘은 이게 아닌 걸까 

아침이 밝아오고 마주한 
내 두 눈을 볼 때면
어린아이가 되고 말겠지 

혼자남은 나를 보고
지워지는 나를 보고"
1696,1697,31106984,Gang Gang Schiele,혁오 (HYUKOH),17643,2018.05.31,"인디음악, 록/메탈","Hello my dear old friends 
I'm truly begging sorry 
For their sorrow
With my sorrow
Have you seen my old friends
They told me 
We're heading somewhere
In their white robes
Over the fake iron wall
Hello my dear old friends
Is there any fine ending
Every road leads to an end
Yes we all know this will end
Through these years
Some rush off to the golden palace
In their white robes
Time and tide through the wall
So sad I can't say that I'm sad
Talk cheap smoking bitter
정말 미안합니다
Wind flows from the left 
remains in right
Just finished to build my wings
See you I'll be there
Just a day
Perhaps it's a hard day
Somehow it's one day
And I would say ME-AN
Just a day
Perhaps it's a hard day
Somehow it's one day
And I would say ME-AN
Dear my old friends 
Who believe in their pray 
helps the sunrise
It embraces from coast to coast
Pours south to the north
Both ears are covered
Oh now you can hear yourself
You are like that so am I
Stay beautiful through the wall
So sad I can't say that I'm sad
Talk cheap smoking bitter
정말 미안합니다
Wind flows from the left 
remains in right
Just finished to build my wings
See you I'll be there
Just a day
Perhaps it's a hard day
Somehow it's one day
And I would say ME-AN
Just a day
Perhaps it's a hard day
Somehow it's one day
And I would say ME-AN
Just a day
Perhaps it's a hard day
Somehow it's one day
And I would say ME-AN
Just a day
Perhaps it's a hard day
Somehow it's one day
And I would say ME-AN"
1697,1698,31953518,시소 (SEESAW),정아로,6610,2019.07.29,"발라드, 인디음악","내 맘속에 널 향한 사랑이 쌓인 건지
왜 하루 종일 머릿속에
그대가 떠오르는지
아마도 이건
가볍지 못한 내 탓이겠죠
그래서 나는
오늘도 깊이 가라앉아요
Oh 난 oh 난
그대가 떠오른다
like SEESAW SEESAW
그대만 떠오른다
like SEESAW SEESAW
맘의 무게가 달라서
우린 마주 볼 수 없지만
그대만 떠오른다
like SEESAW SEESAW SEESAW
내 맘속에 널 향한 사랑이 쌓인 건지
왜 시도 때도 뜬금없이
그대가 떠오르는지
그대에겐 그저
내 마음마저 부담이겠죠
그래서 나는 오늘도
깊이 가라앉아요
Oh 난 oh 난
그대가 떠오른다
like SEESAW SEESAW
그대만 떠오른다
like SEESAW SEESAW
맘의 무게가 달라서
우린 마주 볼 수 없지만
그대만 떠오른다
like SEESAW SEESAW SEESAW
이 맘을 받아준다면
나도 붕 뜨겠지만
어제도 오늘도 내일도
그대가 떠오른다
like SEESAW SEESAW
그대만 떠오른다
like SEESAW SEESAW
맘의 무게가 달라서
우린 마주 볼 수 없지만
그대만 떠오른다
like SEESAW SEESAW SEESAW"
1698,1699,30394520,OYEAH,OLNL (오르내림),17192,2017.04.29,"랩/힙합, 인디음악","어떻게 움직여 클럽에선
그냥 나가면 안돼 여기에서
미안해 괜히 분위기 깨서 미안해
괜히 분위기 깨서
어떻게 움직여 클럽에선
그냥 나가면 안돼 여기에서
미안해 괜히 분위기 깨서 미안해
괜히 분위기 깨서
Oyeah Oyeah Oyeah
솔직히 맨 처음
민증 검사 할 때 그때만 잠깐
Oyeah Oyeah Oyeah
그 뒤로 계속 말은 안해도 계속
다운 돼 있었어
너희가 데려왔으면 책임지고
teach me how to dance
해야지 너희가
왜 자꾸 눈치만 주고
자꾸 눈치 주게 해
발 조심 하고 나와 나가자
yeah 챔스보다 재밌는 걸
알려준다 해서
나왔지 이 새벽에 but but but
후회만 가득해
네이버 스포츠 5분마다
새로 고침해
어떻게 움직여 클럽에선
그냥 나가면 안돼 여기에서
미안해 괜히 분위기 깨서 미안해
괜히 분위기 깨서
어떻게 움직여 클럽에선
그냥 나가면 안돼 여기에서
미안해 괜히 분위기 깨서 미안해
괜히 분위기 깨서
원래부터 이런 성격이야 어렸을 땐
이보다도 더 했어 근데
이런 멍청한 이제원은
킥보드를 타는 어린아이 같았고
이 어린아이 앞에서는 담뱃불을 끄는
모습들을 보았어 그 뒤로
난 이 모습을 유지하고 싶어졌고
그래서 스무살이 됐어도
거릴 뒀어 이 기분을
망치기는 싫었거든
내 자전거에 붙어 있는
보조 바퀴를 때는 건 싫었어
계속 이렇게 달리고 싶어
남들보다 좀 느려도
넘어질 일 없어서
상처 받을 일도 없거든
난 내가 소심한 줄 알았지만
그냥 자신 없던 거였단걸
알았을 때부터는 필요 없었지
난 내 자전거에
보조 바퀴 같은 건 말야
어떻게 움직여 클럽에선
그냥 나가면 안돼 여기에서
미안해 괜히 분위기 깨서 미안해
괜히 분위기 깨서
어떻게 움직여 클럽에선
그냥 나가면 안돼 여기에서
미안해 괜히 분위기 깨서 미안해
괜히 분위기 깨서"
1699,1700,32585025,미니홈피,민수,10126,2020.05.10,"R&B/Soul, 인디음악","너를 생각하는 이 밤이 난 
부끄러워 아무에게 말 못해 
어딘가에 남아있는 흔적이 없나 
다 찾아보고선 또 후회를 해 
그래 이러면 안돼 
옛날일도 위험해 
기어코 찾아낸 
사진을 보니 어제 일 같네 
잊어버린줄 알았어 
너무 오래 지났으니까 
떠올라지는 순간에 모든게 
멈춰서 그때로 돌아가 
잊어버린줄 알았어 
너무 오래 지났으니까 
떠올라지는 순간에 모든게 
멈춰서 그때로 돌아가 
아무렇지 않던 내 맘이 왜 
복잡하게 변했는지 아니 
어딘가에 남아있던 흔적이 하필 
오늘 같은 날에 나타난걸까 
그래 이러지 말자 
옛날 일도 위험해 
기어코 찾아낸 
추억 속엔 나 혼자만 있네 
생각 정도만 할게 
너에게 닿지 않을게 
내일이면 다시 
없어질 잠깐의 시간이야 
잊어버린줄 알았어 
너무 오래 지났으니까 
떠올라지는 순간에 모든게 
멈춰서 그때로 돌아가 
잊어버린줄 알았어 
너무 오래 지났으니까 
떠올라지는 순간에 모든게 
멈춰서 그때로 돌아가 
잊어버린줄 알았어 
너무 오래 지났으니까 
떠올라지는 순간에 모든게 
멈춰서 그때로 돌아가 
잊어버린줄 알았어 
너무 오래 지났으니까 
떠올라지는 순간에 모든게 
멈춰서 그때로 돌아가 
잊어버린줄 알았어
너무 오래 지났으니까
떠올라지는 순간에 모든게
멈춰서 그때로 돌아가"
